Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",112.456000,-90.424000,0.000000,top
"C2","100 μF","C_1206_3216Metric",141.111000,-124.968000,180.000000,top
"C3","10uF","C_0805_2012Metric",190.822000,-98.943000,180.000000,top
"C4","10uF","C_0805_2012Metric",226.427000,-98.806000,180.000000,top
"R1","10k","R_0805_2012Metric",135.382000,-70.382500,90.000000,top
"R2","100","R_0805_2012Metric",144.526000,-70.232000,90.000000,top
"R3","1K","R_0805_2012Metric",185.420000,-129.897500,90.000000,top
"R4","1K","R_0805_2012Metric",187.960000,-129.944500,90.000000,top
"R5","1K","R_0805_2012Metric",190.754000,-129.944500,90.000000,top
"R6","1K","R_0805_2012Metric",182.880000,-129.944500,90.000000,top
"R7","1K","R_0805_2012Metric",180.340000,-129.944500,90.000000,top
"R8","1K","R_0805_2012Metric",213.293000,-130.466000,90.000000,top
"R9","1K","R_0805_2012Metric",216.214000,-130.466000,90.000000,top
"R10","1K","R_0805_2012Metric",219.008000,-130.466000,90.000000,top
"R11","1K","R_0805_2012Metric",221.802000,-130.466000,90.000000,top
"R12","1K","R_0805_2012Metric",224.596000,-130.466000,90.000000,top
"R13","1k","R_0805_2012Metric",173.228000,-122.023500,-90.000000,top
"R14","10k","R_0805_2012Metric",133.858000,-89.812500,90.000000,top
"R15","100","R_0805_2012Metric",144.356500,-87.018500,90.000000,top
"R16","1k","R_0805_2012Metric",141.063500,-122.682000,0.000000,top
"R23","220","R_0805_2012Metric",193.294000,-113.086500,90.000000,top
"R24","220","R_0805_2012Metric",195.326000,-113.086500,90.000000,top
"R25","220","R_0805_2012Metric",197.358000,-113.086500,90.000000,top
"R26","220","R_0805_2012Metric",199.390000,-113.086500,90.000000,top
"R27","220","R_0805_2012Metric",201.422000,-113.133500,90.000000,top
"R28","10k","R_0805_2012Metric",194.444000,-98.943000,180.000000,top
"R35","10k","R_0805_2012Metric",230.020500,-98.806000,180.000000,top
"R36","220","R_0805_2012Metric",228.139000,-113.387500,90.000000,top
"R37","220","R_0805_2012Metric",230.171000,-113.387500,90.000000,top
"R38","220","R_0805_2012Metric",232.203000,-113.387500,90.000000,top
"R39","220","R_0805_2012Metric",234.235000,-113.387500,90.000000,top
"R40","220","R_0805_2012Metric",236.472000,-113.456000,90.000000,top
"U7","PCA9685PW","TSSOP-28_4.4x9.7mm_P0.65mm",194.209000,-106.240500,90.000000,top
"U8","PCA9685PW","TSSOP-28_4.4x9.7mm_P0.65mm",229.704000,-106.357500,90.000000,top
