Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",114.158000,-106.762000,90.000000,top
"C2","100 μF","C_0805_2012Metric",116.666000,-106.762000,90.000000,top
"C3","0.1uF","C_0805_2012Metric",174.070000,-127.082000,180.000000,top
"C4","0.47uF","C_0805_2012Metric",174.004000,-124.542000,0.000000,top
"C5","470nF","C_0805_2012Metric",180.674000,-116.414000,90.000000,top
"C6","2.2uF","C_0805_2012Metric",173.750000,-112.900000,0.000000,top
"C7","1uF","C_0805_2012Metric",168.482000,-115.398000,-90.000000,top
"J1","Barrel_Jack","BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal",111.468000,-99.020000,0.000000,top
"M1","Motor_Servo","PinHeader_1x03_P2.54mm_Vertical",187.325000,-57.785000,0.000000,top
"M2","Motor_Servo","PinHeader_1x03_P2.54mm_Vertical",180.975000,-57.785000,0.000000,top
"M3","Motor_Servo","PinHeader_1x03_P2.54mm_Vertical",167.005000,-57.785000,0.000000,top
"M4","Motor_Servo","PinHeader_1x03_P2.54mm_Vertical",159.385000,-57.785000,0.000000,top
"M5","Motor_Servo","PinHeader_1x03_P2.54mm_Vertical",151.765000,-57.785000,0.000000,top
"M6","Motor_Servo","PinHeader_1x03_P2.54mm_Vertical",174.625000,-57.785000,0.000000,top
"M7","Stepper_Motor","PinHeader_1x04_P2.54mm_Vertical",125.556000,-118.700000,180.000000,top
"MK1","Microphone","POM-2244P-C3310-2-R",195.406000,-113.620000,-90.000000,top
"R1","150k","R_0805_2012Metric",179.150000,-120.986000,90.000000,top
"R2","100k","R_0805_2012Metric",185.246000,-116.517500,90.000000,top
"R3","1K","R_0805_2012Metric",159.385000,-51.435000,-90.000000,top
"R4","1K","R_0805_2012Metric",151.765000,-51.435000,-90.000000,top
"R5","1K","R_0805_2012Metric",174.625000,-51.435000,-90.000000,top
"R6","1K","R_0805_2012Metric",167.005000,-51.435000,-90.000000,top
"R7","1K","R_0805_2012Metric",180.975000,-51.435000,-90.000000,top
"R8","1K","R_0805_2012Metric",187.325000,-51.435000,-90.000000,top
"U1","ESP32-DEVKITC-32UE","MODULE_DEVKIT_V1_ESP32-WROOM-32",169.254000,-88.474000,-90.000000,top
"U2","LM2596","LM2596",99.950000,-66.270000,0.000000,top
"U3","A4988_Stepper_Motor_Driver","Pololu_Breakout-16_15.2x20.3mm",133.684000,-106.000000,0.000000,top
"U4","~","PinHeader_1x04_P2.54mm_Vertical",184.992000,-107.524000,90.000000,top
"U5","MAX9814ETD_T","SON40P300X300X80-15N",174.223000,-118.260000,-90.000000,top
