Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
C1,1,22u,,,,Capacitor_SMD:C_0805_2012Metric,~
C2,1,100 μF,,,,Capacitor_SMD:C_0805_2012Metric,~
C3,1,0.1uF,,,,Capacitor_SMD:C_0805_2012Metric,~
C4,1,0.47uF,,,,Capacitor_SMD:C_0805_2012Metric,~
C5,1,470nF,,,,Capacitor_SMD:C_0805_2012Metric,~
C6,1,2.2uF,,,,Capacitor_SMD:C_0805_2012Metric,~
C7,1,1uF,,,,Capacitor_SMD:C_0805_2012Metric,~
"H1,H2,H3,H4",4,MountingHole,,Excluded from BOM,,MountingHole:MountingHole_4.3mm_M4,~
J1,1,Barrel_Jack,,,,Connector_BarrelJack:BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal,~
"M1,M2,M3,M4,M5,M6",6,Motor_Servo,,,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,http://forums.parallax.com/uploads/attachments/46831/74481.png
M7,1,Stepper_Motor,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,http://www.infineon.com/dgdl/Application-Note-TLE8110EE_driving_UniPolarStepperMotor_V1.1.pdf?fileId=db3a30431be39b97011be5d0aa0a00b0
MK1,1,Microphone,,,,Sensor_Audio:POM-2244P-C3310-2-R,~
R1,1,150k,,,,Resistor_SMD:R_0805_2012Metric,~
R2,1,100k,,,,Resistor_SMD:R_0805_2012Metric,~
"R3,R6,R7,R8",4,1K,,,,Resistor_SMD:R_0805_2012Metric,~
"R4,R5",2,1k,,,,Resistor_SMD:R_0805_2012Metric,~
U1,1,ESP32-DEVKITC-32UE,,,,DEVKIT_V1_ESP32-WROOM-32:MODULE_DEVKIT_V1_ESP32-WROOM-32,
U2,1,LM2596,,,,PCB_Components:LM2596,
U3,1,A4988_Stepper_Motor_Driver,,,,Module:Pololu_Breakout-16_15.2x20.3mm,https://www.pololu.com/product/2980/pictures
U4,1,~,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
U5,1,MAX9814ETD_T,,,,MAX9814ETD_T:SON40P300X300X80-15N,
