Designator,Mid X,Mid Y,Rotation,Layer
C1,112.456,-90.424,0.0,top
C2,145.354,-133.096,0.0,top
J1,102.56,-90.932,0.0,top
M1,178.181,-115.316,180.0,top
M10,215.265,-115.316,180.0,top
M11,227.457,-115.316,180.0,top
M2,183.515,-115.316,180.0,top
M3,195.707,-115.316,180.0,top
M4,208.407,-115.316,180.0,top
M5,220.853,-115.316,180.0,top
M6,233.045,-115.316,180.0,top
M7,148.082,-115.062,180.0,top
M8,190.119,-115.316,180.0,top
M9,202.819,-115.316,180.0,top
Q1,153.077,-66.865,0.0,top
Q2,150.8945,-79.185,0.0,top
R1,147.9785,-66.294,0.0,top
R10,202.819,-125.1185,90.0,top
R11,215.265,-125.1185,90.0,top
R12,227.203,-125.1185,90.0,top
R13,170.6645,-115.57,0.0,top
R14,144.6295,-78.994,90.0,top
R15,159.512,-79.502,180.0,top
R16,143.4065,-128.27,0.0,top
R2,160.6785,-66.294,180.0,top
R3,208.407,-125.1185,90.0,top
R4,220.853,-125.1185,90.0,top
R5,233.045,-125.1185,90.0,top
R6,195.707,-125.1185,90.0,top
R7,183.515,-125.1185,90.0,top
R8,178.181,-125.1185,90.0,top
R9,190.119,-125.1185,90.0,top
U1,207.398,-90.9505,270.0,top
U2,120.904,-45.212,0.0,top
U3,159.776,-114.554,0.0,top
U4,198.374,-73.66,90.0,top
U5,198.12,-45.72,0.0,top
U6,113.03,-115.316,0.0,top
